year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass
2039,2786690808.933497,72372074.48424768,13042071.7241087,4303454.740568592,0.0,35371752.68208695,823344.2658489106,1054990.5932462558,2110200.2266412633,1070354597.046748,1899211477.9999995,7574924.88851285,11199703.430911804,420091910.4053983,23666393.65878552,8773028.485174192
2040,2820269641.7670097,72776627.74021836,13114979.73592246,4327511.5933849085,0.0,35644691.52022021,837395.4830215435,1066056.1423948698,2114865.459731491,1082146707.4279048,1924958678.5674837,7653623.077652931,11333971.990032803,425185254.90293735,24031480.572481256,8848260.460953362
2041,2854266318.2414613,73183442.4117707,13188295.319347449,4351702.927031707,0.0,35919736.43463499,851686.4986748571,1077237.7554958493,2119541.006724403,1094068731.6410058,1951054928.3823736,7732282.698700905,11469850.238738894,430340352.9299495,24402199.45767512,8924137.578850698
2042,2888686145.1614995,73592531.14001033,13262020.752797462,4376029.493273717,0.0,36196903.67643488,866221.4052167045,1088536.6499167967,2124226.89042199,1106122100.9484105,1977504959.4300616,7810903.789440632,11607357.474925073,435557953.2083003,24778637.195331063,9000665.371199336
2043,2923534497.565936,74003906.63670546,13336158.32742312,4400492.048078149,0.0,36476209.622121625,881004.3648960661,1099954.0557939983,2128923.1336766505,1118308262.380715,2004313567.8464644,7889486.387600899,11746513.227840764,440838813.5376317,25160882.006672293,9077849.41777422
2044,2958816819.613421,74417581.68468195,13410710.347183008,4425091.351638152,0.0,36757670.77456287,896039.610995003,1111491.2161663512,2133629.7593913046,1130628678.9104688,2031485614.7876592,7968030.530854464,11887337.260863394,446183700.9054128,25549023.47385634,9155695.346198948
2045,2994538625.4797916,74833569.1382206,13485679.128915409,4449828.168396459,0.0,37041303.76396728,911331.4490408915,1123149.3871106976,2138346.790519507,1143084829.6278143,2059026027.311375,8046536.256819487,12029849.574305251,451593391.5983498,25943152.560970016,9234208.83235603
2046,3030705500.2670984,75251881.92345606,13561067.00241021,4474703.267069137,0.0,37327125.34886704,926884.258039343,1134929.8378785728,2143074.250065556,1155678209.9180365,2086939799.2703924,8125003.603059053,12174070.408253957,457068671.3151213,26343361.635346837,9313395.600800889
2047,3067323100.924586,75672533.03877929,13636876.310481356,4499717.420669448,0.0,37615152.41710824,942702.491728233,1146833.8510343968,2147812.1610846133,1168410331.641111,2115231992.218101,8203432.607080221,12320020.245447213,462610335.2804976,26749744.48921477,9393261.42517902
2048,3104397157.1816616,76095535.55524093,13713109.409039551,4524871.4065319225,0.0,37905401.98684839,958790.6798530298,1158862.722595106,2152560.546682805,1181282723.3131895,2143907736.326256,8281823.306336164,12467719.814181557,468219188.36084336,27162396.361676514,9473812.128647124
2049,3141933472.4931216,76520902.61695762,13789768.667165635,4550166.006336477,0.0,38197891.20756218,975153.4294639903,1171017.762171255,2157319.4300173433,1194296930.290108,2172972231.3152504,8360175.738224506,12617190.091256443,473896045.18100566,27581413.961030148,9555053.584297616
2050,3179937924.9967313,76948647.44152035,13866856.467184111,4575602.006132719,0.0,38492637.36105467,991795.4262354244,1183300.293109596,2162088.834296636,1207454514.952906,2202430747.396968,8438489.940088272,12768452.304953407,479641730.2426347,28006895.48743325,9636991.715586867
