year,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass,total_us
2038,71969770.07302277,12969569.018158462,4279531.620997107,19265329.849966902,100288296.55305678,5058523.650160988,2175083.131913646,16196502.190015642,1058690984.831582,1873808657.9869885,64272269.2576057,7496188.093440771,11067025.49209443,415059579.68449444,23306853.155522216,8698436.166218517,3694602600.755239
2039,72372074.48424768,13042071.7241087,4303454.740568592,19373023.502975464,101062150.52024844,5144852.561807681,2197897.069263033,16232309.435702024,1070354597.046748,1899211477.9999995,64504252.76204362,7574924.88851285,11199703.430911805,420091910.4053983,23666393.658785522,8773028.485174192,3739104122.716496
2040,72776627.74021836,13114979.735922461,4327511.5933849085,19481319.166070953,101841975.77205776,5232654.765169844,2220950.296655979,16268195.844088389,1082146707.4279048,1924958678.5674834,64737073.58476746,7653623.077652931,11333971.990032803,425185254.90293735,24031480.572481256,8848260.460953362,3784159265.4977818
2041,73183442.4117707,13188295.319347449,4351702.927031707,19590220.20450417,102627818.38467139,5321955.403486643,2244245.3239496863,16304161.590187712,1094068731.6410058,1951054928.3823738,64970734.74798319,7732282.698700905,11469850.238738894,430340352.9299495,24402199.45767512,8924137.578850698,3829775059.2402277
2042,73592531.14001033,13262020.752797462,4376029.493273717,19699730.002337616,103419724.78981397,5412780.049092642,2267784.68732666,16340206.849399922,1106122100.9484105,1977504959.4300618,65205239.28480497,7810903.789440632,11607357.474925073,435557953.2083003,24778637.195331063,9000665.371199336,3875958624.4665256
2043,74003906.63670546,13336158.32742312,4400492.048078149,19809851.962550912,104217741.77749035,5505154.710740459,2291570.94957083,16376331.797512697,1118308262.380715,2004313567.8464644,65440590.2392947,7889486.387600899,11746513.227840764,440838813.5376317,25160882.006672293,9077849.41777422,3922717173.2540655
2044,74417581.68468195,13410710.347183008,4425091.351638152,19920589.50714628,105021916.49875107,5599105.841048956,2315606.7003465653,16412536.610702345,1130628678.9104688,2031485614.7876592,65676790.66650145,7968030.530854464,11887337.260863394,446183700.9054128,25549023.47385634,9155695.346198948,3970058010.4233136
2045,74833569.1382206,13485679.128915409,4449828.168396459,20031946.077255163,105832296.46847796,5694660.34407816,2339894.5564806196,16448821.46553467,1143084829.6278143,2059026027.3113747,65913843.63250114,8046536.256819487,12029849.574305251,451593391.5983498,25943152.560970016,9234208.83235603,4017988534.741849
2046,75251881.92345606,13561067.00241021,4474703.267069137,20143925.13324486,106648929.56819154,5791845.583033443,2364437.162247027,16485186.538965814,1155678209.9180365,2086939799.2703924,66151752.21443639,8125003.603059053,12174070.408253957,457068671.3151213,26343361.635346834,9313395.600800887,4066516240.144066
2047,75672533.03877929,13636876.310481356,4499717.420669448,20256530.154826358,107471864.04888068,5890689.388101605,2389237.1896549934,16521632.008343175,1168410331.6411107,2115231992.218101,66390519.50055634,8203432.607080221,12320020.245447211,462610335.2804976,26749744.48921477,9393261.42517902,4115648716.966924
2048,76095535.55524093,13713109.409039553,4524871.4065319225,20369764.64116215,108301148.53385256,5991220.06442005,2414297.3387398045,16558158.05140619,1181282723.3131895,2143907736.3262556,66630148.59025691,8281823.3063361645,12467719.814181555,468219188.36084336,27162396.361676514,9473812.128647123,4165393653.20178
2049,76520902.61695762,13789768.667165637,4550166.006336477,20483632.110975258,109136832.02160625,6093466.400182611,2439620.337856781,16594764.846287254,1194296930.290108,2172972231.3152504,66870642.59412085,8360175.738224506,12617190.091256443,473896045.18100566,27581413.961030148,9555053.584297616,4215758835.7626615
2050,76948647.44152035,13866856.467184113,4575602.006132719,20598136.10265844,109978963.88872764,6197457.6748832725,2465208.9439783255,16631452.571512582,1207454514.952906,2202430747.396968,67112004.63395828,8438489.940088272,12768452.304953407,479641730.2426347,28006895.487433255,9636991.715586869,4266752151.7711263
